m_smbh,coulomb_log,a_min_pc,reading,seed,elapsed_s,n_steps,final_time_gyr,hit_step_ceiling,n_mergers,max_mass,max_spin,p99_mass,n_gt_100,pct_gt_100,any_gt_100,n_emri,pct_emri,n_ejected,max_generation
1264911.0,14.050512321937452,0.001,star_only,1,7264.237495422363,2000000,5.96304029323155,True,9151,2691533.38203048,-0.0021780402489468536,13150.992305719088,105,10.5,True,595,59.5,9,2535
4000000.0,15.201804919084164,0.001,star_only,1,762.3630421161652,89544,10.0,False,1041,9180.957602805485,0.012259851083001363,741.8717983195063,125,12.5,True,346,34.6,3,166
4000000.0,15.201804919084164,0.001,star_only,3,692.2228803634644,81615,10.0,False,1033,5727.875217012224,0.05348563050523495,1312.596048348621,127,12.7,True,354,35.4,4,87
4000000.0,15.201804919084164,0.001,star_only,0,1809.5636985301971,236225,10.0,False,1102,75052.2137036881,0.014585876008759293,850.7223428434975,134,13.4,True,350,35.0,1,170
4000000.0,15.201804919084164,0.001,star_only,4,956.6233344078064,110603,10.0,False,964,12818.385263173284,0.0021597112570544007,958.3476090806225,111,11.1,True,350,35.0,0,133
4000000.0,15.201804919084164,0.001,star_only,5,768.2488493919373,87159,10.0,False,739,6101.782021929519,-0.026850447125804602,649.9894624456365,97,9.7,True,361,36.1,2,83
4000000.0,15.201804919084164,0.001,star_only,2,2056.3696398735046,268092,10.0,False,923,89870.14308980847,-0.0336976674898028,676.7731398910237,117,11.7,True,344,34.4,3,214
4000000.0,15.201804919084164,0.001,bh_inclusive,0,26.6009681224823,10072,10.0,False,1,100.06569772662165,0.007545312616198584,97.68297255973856,1,0.1,True,677,67.7,1,2
4000000.0,15.201804919084164,0.001,bh_inclusive,1,26.87687397003174,10064,10.0,False,0,100.2128640129144,0.007503140376375161,96.53000128636864,1,0.1,True,663,66.3,1,1
4000000.0,15.201804919084164,0.001,bh_inclusive,2,26.96136450767517,10038,10.0,False,0,99.98820870004378,0.0,96.56302441254624,0,0.0,False,664,66.4,0,1
4000000.0,15.201804919084164,0.001,bh_inclusive,3,26.834215879440308,10068,10.0,False,2,100.15940424665172,3.680790349463667e-05,95.3196113938608,1,0.1,True,656,65.6,0,2
4000000.0,15.201804919084164,0.001,bh_inclusive,4,26.28153133392334,10062,10.0,False,4,140.32408395207074,-0.6611687580235058,98.15915268967534,2,0.2,True,658,65.8,1,2
4000000.0,15.201804919084164,0.001,bh_inclusive,5,27.691417455673218,10127,10.0,False,0,100.01978304690238,0.007547039150265231,97.68717410603976,1,0.1,True,679,67.9,0,1
4000000.0,15.201804919084164,0.001,bh_inclusive,6,27.54983878135681,10051,10.0,False,0,99.49249908798629,0.0,97.65805160812641,0,0.0,False,637,63.7,0,1
4000000.0,15.201804919084164,0.001,bh_inclusive,7,27.98906421661377,10151,10.0,False,2,129.39589643041728,-0.6240872945038222,97.54611274279019,1,0.1,True,666,66.6,1,2
1264911.0,14.050512321937452,0.001,star_only,3,7168.545718431473,2000000,5.97717028830985,True,4794,4456416.557188007,-0.001209954203653732,978.9192245265594,97,9.7,True,587,58.7,9,3096
12649110.0,16.353097414931497,0.001680853600896994,star_only,0,391.26504778862,33708,10.0,False,121,467.21779477715285,-0.3715725415278353,168.82086882230476,62,6.2,True,145,14.5,0,7
4000000.0,15.201804919084164,0.001,star_only,6,723.2969150543213,78298,10.0,False,662,3952.500122665561,-0.007614287520182044,601.4111594656086,106,10.6,True,328,32.8,1,61
4000000.0,15.201804919084164,0.001,star_only,7,799.4117872714996,91926,10.0,False,729,14349.26645401772,0.02472233926490018,369.26968623062817,106,10.6,True,347,34.7,0,161
1264911.0,14.050512321937452,0.001,star_only,5,4261.748024702072,1207420,10.0,False,4644,1086894.7042046401,0.0027867541257129706,2445.9411943682644,100,10.0,True,653,65.3,18,1529
12649110.0,16.353097414931497,0.001680853600896994,star_only,1,294.76759576797485,27748,10.0,False,117,394.6379388843236,-0.056488051137180875,187.85642553315427,54,5.4,True,125,12.5,1,7
12649110.0,16.353097414931497,0.001680853600896994,star_only,3,285.207168340683,26896,10.0,False,101,389.50130518801194,-0.5307199235515716,169.536912781511,50,5.0,True,136,13.6,0,8
12649110.0,16.353097414931497,0.001680853600896994,star_only,2,338.70569920539856,31994,10.0,False,90,340.16025520692443,-0.2570891297430871,158.54991902280372,53,5.3,True,144,14.4,0,5
